,,,,,"Number of births, both sexes combined (thousands)",,,,,,,,,,,,,,,,
114,Medium variant,Viet Nam,,704,7792.883,7621.571,6993.359,6506.475,6445.913,6593.646,6653.816,6527.777,6257.777,5986.129,5849.905,5844.939,5850.253,5778.861,5624.191,5452.813,5329.769
115,Medium variant,Western Asia,,922,28210.090,28357.717,28524.882,28811.741,29191.530,29495.101,29579.094,29431.812,29181.193,29013.800,28875.493,28769.490,28575.981,28286.660,27912.973,27503.466,27115.789
116,Medium variant,Armenia,,51,188.535,164.337,145.542,137.092,137.696,137.928,131.303,120.239,110.368,105.005,103.532,102.661,99.651,94.321,88.684,84.621,82.640
117,Medium variant,Azerbaijan,9,31,824.487,719.042,658.689,657.192,666.764,655.943,627.275,594.381,569.989,558.881,552.702,542.960,528.043,510.793,495.282,484.006,476.114
118,Medium variant,Bahrain,,48,109.230,112.380,114.438,115.357,109.156,103.087,100.533,100.636,101.354,100.741,98.720,96.051,94.021,93.332,93.079,92.564,91.214
119,Medium variant,Cyprus,10,196,62.755,59.961,59.244,59.721,60.608,60.878,60.212,59.347,58.837,59.102,59.622,59.849,59.650,59.157,58.605,58.367,58.272
120,Medium variant,Georgia,11,268,253.895,226.798,208.183,202.259,203.911,203.222,193.643,179.026,166.850,160.411,157.704,154.749,148.942,140.725,133.009,127.714,124.454
121,Medium variant,Iraq,,368,6302.977,6788.595,7310.115,7867.859,8436.118,8971.091,9444.911,9870.750,10244.318,10623.161,10932.303,11194.510,11376.607,11500.129,11560.709,11561.691,11531.915
122,Medium variant,Israel,,376,822.976,824.803,842.884,879.327,920.751,953.123,963.266,957.953,948.771,947.205,953.933,959.328,958.213,947.187,931.165,916.755,906.428
123,Medium variant,Jordan,,400,1234.904,1205.105,1153.509,1137.924,1146.825,1147.620,1128.477,1096.014,1068.555,1047.006,1030.671,1011.182,985.225,955.718,928.729,906.481,888.206
124,Medium variant,Kuwait,,414,325.852,304.753,297.584,303.700,313.505,323.661,327.314,323.444,318.108,317.326,320.688,324.673,325.841,323.606,319.774,316.919,315.803
125,Medium variant,Lebanon,,422,457.427,437.966,373.645,308.690,263.485,244.732,246.501,255.051,255.504,241.584,222.423,208.903,205.222,206.530,205.961,199.797,189.943
126,Medium variant,Oman,,512,402.869,378.734,341.571,320.784,322.138,334.663,340.490,331.911,314.867,300.570,295.821,298.237,300.718,297.310,288.473,279.173,273.635
127,Medium variant,Qatar,,634,131.168,133.623,133.476,131.557,132.916,137.167,141.769,145.274,146.311,146.148,146.552,147.980,150.330,152.106,152.718,152.479,151.910
128,Medium variant,Saudi Arabia,,682,3159.283,2979.518,2730.261,2557.580,2499.997,2533.434,2571.900,2534.366,2426.293,2305.578,2230.816,2211.104,2211.979,2193.214,2142.326,2074.793,2015.931
129,Medium variant,State of Palestine,12,275,779.330,821.807,851.164,877.991,908.078,939.112,963.382,976.752,979.492,978.793,975.054,970.470,962.073,949.518,934.184,915.662,898.070
130,Medium variant,Syrian Arab Republic,,760,1927.076,2132.147,2468.254,2598.984,2607.064,2520.243,2406.969,2314.582,2258.367,2219.262,2172.737,2108.895,2035.195,1965.267,1912.155,1872.309,1835.385
131,Medium variant,Turkey,,792,6404.767,6209.046,5956.010,5757.377,5585.744,5425.847,5244.961,5047.425,4857.734,4702.557,4565.978,4451.179,4326.120,4198.683,4070.683,3957.335,3861.609
132,Medium variant,United Arab Emirates,,784,436.884,431.228,456.599,493.135,518.318,525.586,528.204,538.945,556.252,575.224,589.118,598.462,603.788,610.901,619.142,627.166,633.027
133,Medium variant,Yemen,,887,4385.675,4427.874,4423.714,4405.212,4358.456,4277.764,4157.984,3985.716,3799.223,3625.246,3467.119,3328.297,3204.363,3088.163,2978.295,2875.634,2781.233
134,Medium variant,EUROPE,,908,38856.211,37216.489,35397.938,34563.355,35030.453,35748.430,35753.026,35016.311,34070.325,33440.225,33327.309,33484.837,33483.867,33117.366,32509.533,31938.441,31596.803
135,Medium variant,Eastern Europe,,923,16211.225,14878.007,13443.455,12799.300,13205.546,13834.127,13876.918,13279.637,12510.305,12027.388,11996.870,12197.324,12260.532,12030.304,11606.631,11238.870,11080.619
136,Medium variant,Belarus,,112,555.239,512.250,461.098,437.870,453.546,479.890,485.980,466.309,438.309,421.142,420.948,430.211,434.114,426.301,411.298,397.759,393.101
137,Medium variant,Bulgaria,,100,326.560,306.396,281.246,264.673,264.704,266.785,260.123,247.366,233.315,222.382,216.983,214.861,211.578,204.929,196.453,188.766,183.577
138,Medium variant,Czechia,,203,536.361,505.563,468.265,451.797,471.976,495.345,496.598,481.878,462.112,448.120,447.802,457.156,462.886,458.165,445.990,433.651,427.311
139,Medium variant,Hungary,,348,436.399,424.533,411.380,392.642,379.373,371.722,363.548,355.827,348.466,340.056,331.313,323.598,317.221,311.478,305.615,299.254,292.837
140,Medium variant,Poland,,616,1725.224,1549.591,1427.502,1349.806,1340.516,1340.268,1294.685,1214.212,1141.351,1093.303,1073.523,1065.186,1045.892,1009.892,965.917,930.651,909.126
141,Medium variant,Republic of Moldova,13,498,201.612,177.520,160.097,147.857,143.702,142.345,137.529,128.571,119.246,112.541,108.956,106.942,104.360,100.045,94.901,90.538,87.618
142,Medium variant,Romania,,642,937.137,890.227,847.529,819.992,804.981,783.212,753.551,724.837,699.295,679.433,663.543,648.361,630.194,610.906,592.191,576.731,563.402
143,Medium variant,Russian Federation,,643,8903.008,8136.068,7232.746,6903.209,7292.905,7838.513,7982.558,7656.909,7185.064,6911.976,6962.235,7172.506,7283.356,7181.912,6936.529,6724.716,6660.665
144,Medium variant,Slovakia,,703,281.577,268.198,247.336,229.625,225.104,228.775,229.882,224.725,215.029,204.770,198.334,196.658,196.478,194.570,189.370,182.988,177.475
145,Medium variant,Ukraine,14,804,2308.108,2107.661,1906.256,1801.829,1828.739,1887.272,1872.464,1779.003,1668.118,1593.665,1573.233,1581.845,1574.453,1532.106,1468.367,1413.816,1385.507
146,Medium variant,Northern Europe,15,924,6243.992,6205.593,6056.947,6003.225,6125.403,6290.935,6371.573,6362.003,6305.384,6266.445,6287.012,6340.906,6375.905,6362.418,6310.791,6254.334,6219.581
147,Medium variant,Channel Islands,16,830,7.669,7.705,7.760,7.797,7.807,7.818,7.856,7.915,7.982,8.033,8.047,8.039,8.023,8.002,7.976,7.942,7.876
148,Medium variant,Denmark,,208,306.415,328.645,341.239,340.648,334.151,328.138,329.466,338.525,347.229,349.818,346.582,341.826,339.977,341.680,344.465,345.512,342.933
149,Medium variant,Estonia,,233,69.779,64.822,58.400,55.785,57.255,58.624,57.475,54.406,51.041,48.713,48.043,48.196,47.858,46.431,44.389,42.651,41.622
150,Medium variant,Finland,17,246,300.011,300.307,295.624,292.084,293.743,298.189,301.259,301.894,300.914,299.209,298.802,299.415,299.999,299.653,297.856,295.389,293.115
151,Medium variant,Iceland,,352,22.090,21.789,21.233,20.758,20.590,20.542,20.341,19.966,19.574,19.218,18.955,18.771,18.564,18.298,17.979,17.679,17.410
152,Medium variant,Ireland,,372,322.620,296.055,291.328,308.521,331.127,341.644,335.769,322.661,314.871,317.739,326.526,334.017,334.445,328.630,322.260,319.693,320.942
153,Medium variant,Latvia,,428,97.142,87.797,77.577,73.094,75.422,78.276,76.969,72.541,67.609,64.205,63.338,63.818,63.698,61.894,59.040,56.513,55.047
154,Medium variant,Lithuania,,440,153.057,151.160,140.037,126.247,120.609,122.833,125.539,124.334,118.740,111.362,106.345,105.303,106.057,105.569,102.543,98.244,94.603
155,Medium variant,Norway,18,578,319.569,332.674,340.328,345.056,349.540,355.564,364.147,373.717,380.875,385.012,387.559,390.220,393.731,396.967,399.675,400.373,399.733
156,Medium variant,Sweden,,752,609.412,623.734,608.964,596.995,610.902,636.302,656.830,667.315,667.434,663.969,666.402,676.332,687.659,694.088,694.255,691.049,688.982
157,Medium variant,United Kingdom,,826,4028.490,3982.794,3865.956,3827.635,3915.807,4034.742,4087.730,4070.464,4020.748,3990.770,4008.092,4046.784,4067.819,4053.177,4012.336,3971.305,3949.412
158,Medium variant,Southern Europe,19,925,6498.496,6154.944,6025.432,6033.214,6073.994,6032.825,5868.401,5671.471,5538.172,5483.817,5471.915,5454.295,5392.327,5285.360,5170.610,5081.061,5021.395
159,Medium variant,Albania,,8,171.105,168.085,159.228,143.887,128.892,120.908,117.983,114.433,108.465,100.577,92.779,87.092,83.703,81.008,77.625,73.275,68.766
160,Medium variant,Bosnia and Herzegovina,,70,162.402,163.435,157.297,144.902,134.450,129.545,128.578,128.516,126.139,120.635,114.550,110.444,108.716,107.953,106.401,103.412,99.674
161,Medium variant,Croatia,,191,188.149,173.887,165.133,159.216,156.595,154.469,149.140,141.755,135.693,131.840,129.517,127.665,125.045,121.183,117.078,113.801,111.552
162,Medium variant,Greece,,300,440.291,403.584,398.630,405.391,412.635,406.575,385.571,363.132,351.149,350.486,354.215,354.634,348.183,336.856,326.418,320.571,318.997
163,Medium variant,Italy,,380,2420.230,2349.937,2350.492,2384.486,2405.165,2383.419,2329.222,2281.119,2262.954,2268.616,2276.004,2270.278,2246.448,2210.835,2180.866,2160.430,2147.627
164,Medium variant,Malta,,470,21.462,21.445,20.523,19.108,18.136,18.068,18.455,18.653,18.370,17.737,17.061,16.695,16.677,16.752,16.654,16.339,15.902
165,Medium variant,Montenegro,,499,35.120,33.353,31.984,30.795,29.812,28.773,27.635,26.529,25.570,24.781,24.078,23.374,22.648,21.924,21.257,20.673,20.151
166,Medium variant,Portugal,,620,388.936,359.165,359.561,364.023,361.402,348.477,329.946,314.046,308.048,308.902,310.471,307.119,299.163,289.663,282.710,279.672,278.490
167,Medium variant,Serbia,20,688,462.466,446.244,425.539,404.866,386.679,371.119,359.415,348.525,335.898,322.631,309.638,298.628,289.524,281.234,272.564,263.697,255.116
168,Medium variant,Slovenia,,705,103.778,95.570,88.317,86.132,89.233,93.164,93.454,89.892,85.387,82.834,83.028,84.481,85.171,83.849,81.288,78.998,78.004
169,Medium variant,Spain,21,724,1981.394,1821.892,1757.772,1786.613,1851.434,1880.099,1831.332,1749.017,1688.323,1666.785,1675.811,1690.875,1684.963,1653.348,1608.984,1573.998,1553.283
170,Medium variant,TFYR Macedonia,22,807,116.744,112.361,105.035,97.693,93.206,91.766,91.364,89.739,86.150,81.927,78.579,76.733,75.809,74.566,72.682,70.170,67.809
171,Medium variant,Western Europe,23,926,9902.498,9977.945,9872.104,9727.616,9625.510,9590.543,9636.134,9703.200,9716.464,9662.575,9571.512,9492.312,9455.103,9439.284,9421.501,9364.176,9275.208
172,Medium variant,Austria,,40,425.383,428.101,414.263,394.797,384.070,386.268,395.741,403.556,402.442,394.565,386.006,382.675,384.001,386.738,386.598,382.239,375.280
173,Medium variant,Belgium,,56,652.335,647.416,634.507,628.721,637.836,651.459,659.648,660.728,655.856,651.794,652.382,657.109,660.759,661.229,657.151,651.734,647.621
174,Medium variant,France,,250,3800.193,3775.578,3806.737,3874.106,3912.035,3895.104,3853.279,3828.109,3835.402,3861.332,3875.269,3866.909,3840.490,3812.073,3799.104,3791.477,3790.485
175,Medium variant,Germany,,276,3640.164,3721.111,3618.246,3454.617,3339.741,3314.990,3371.650,3434.341,3440.196,3382.970,3304.422,3246.601,3235.399,3242.535,3243.401,3213.771,3154.807
176,Medium variant,Luxembourg,,442,33.495,35.250,36.652,37.744,38.712,39.979,41.789,43.677,45.033,45.964,46.634,47.253,47.965,48.777,49.424,49.836,49.935
177,Medium variant,Netherlands,,528,905.263,920.977,920.347,904.864,879.702,857.542,851.727,858.446,860.286,852.338,836.217,820.064,810.315,807.059,803.867,796.545,784.422
178,Medium variant,Switzerland,,756,441.744,445.398,437.022,428.348,429.028,440.775,457.675,469.518,472.294,468.590,465.545,466.667,471.106,475.717,476.730,473.319,467.414
179,Medium variant,LATIN AMERICA AND THE CARIBBEAN,,904,53316.301,51540.764,49631.969,47841.179,46224.845,44804.592,43468.361,42114.974,40745.207,39486.935,38318.964,37279.866,36307.540,35351.708,34422.599,33537.655,32704.224
180,Medium variant,Caribbean,24,915,3675.066,3543.223,3398.925,3255.752,3121.884,3004.152,2886.089,2766.211,2643.795,2528.451,2424.791,2330.891,2244.306,2160.837,2080.870,2004.320,1933.325
181,Medium variant,Antigua and Barbuda,,28,8.219,8.231,8.085,7.827,7.587,7.420,7.321,7.225,7.085,6.908,6.741,6.595,6.490,6.389,6.277,6.152,6.031
182,Medium variant,Aruba,,533,5.814,6.127,6.430,6.366,6.004,5.617,5.438,5.487,5.576,5.532,5.346,5.121,4.973,4.921,4.918,4.873,4.764
183,Medium variant,Bahamas,,44,27.907,27.491,26.564,25.418,24.744,24.862,25.161,25.058,24.615,24.066,23.636,23.439,23.401,23.308,23.030,22.634,22.249
184,Medium variant,Barbados,,52,16.836,16.462,16.112,15.827,15.604,15.388,15.137,14.876,14.601,14.370,14.154,13.963,13.756,13.535,13.320,13.114,12.922
185,Medium variant,Cuba,,192,611.671,585.215,551.114,521.205,502.198,494.157,486.819,473.017,454.381,436.286,422.227,412.695,404.878,395.309,383.951,371.754,361.099
186,Medium variant,Curaçao,,531,10.027,9.961,9.857,9.692,9.577,9.579,9.635,9.633,9.537,9.419,9.337,9.287,9.257,9.207,9.121,9.014,8.903
187,Medium variant,Dominican Republic,,214,1063.469,1030.517,995.714,959.050,919.924,879.622,839.693,801.425,766.224,734.039,704.526,675.803,649.117,623.885,600.681,579.345,559.396
188,Medium variant,Grenada,,308,9.824,8.809,7.745,7.123,6.933,6.761,6.356,5.761,5.170,4.759,4.526,4.332,4.073,3.746,3.418,3.159,2.985
189,Medium variant,Guadeloupe,25,312,24.282,24.347,25.464,25.344,23.748,21.821,20.381,19.795,19.854,19.747,19.058,17.965,16.989,16.414,16.173,16.006,15.634
190,Medium variant,Haiti,,332,1306.648,1276.857,1240.138,1200.364,1157.905,1116.286,1069.945,1024.963,979.456,937.926,899.141,862.418,827.143,793.840,763.221,734.536,707.697
191,Medium variant,Jamaica,,388,236.738,218.467,196.703,175.713,158.853,147.998,140.057,131.167,119.600,106.418,95.373,87.098,80.847,74.886,68.191,61.105,54.623
192,Medium variant,Martinique,,474,21.034,19.762,19.575,19.782,19.485,18.252,16.947,16.269,16.003,15.851,15.586,15.028,14.311,13.721,13.386,13.181,12.970
193,Medium variant,Puerto Rico,,630,193.659,183.298,175.141,164.927,153.481,142.907,134.330,128.085,122.618,116.783,110.460,104.286,98.805,94.551,90.921,87.325,83.567
194,Medium variant,Saint Lucia,,662,10.692,10.188,9.615,8.937,8.279,7.848,7.597,7.391,7.128,6.809,6.491,6.231,6.048,5.897,5.745,5.565,5.378
195,Medium variant,Saint Vincent and the Grenadines,,670,8.324,7.722,7.194,6.762,6.424,6.123,5.802,5.474,5.150,4.873,4.625,4.397,4.169,3.938,3.721,3.524,3.349
196,Medium variant,Trinidad and Tobago,,780,89.299,80.040,74.641,73.335,73.577,72.265,68.625,64.269,61.085,59.509,58.850,57.867,56.014,53.668,51.617,50.301,49.418
197,Medium variant,United States Virgin Islands,,850,6.660,6.240,5.994,5.749,5.394,5.002,4.594,4.259,3.982,3.724,3.463,3.202,2.952,2.728,2.536,2.365,2.205
198,Medium variant,Central America,,916,16526.668,16059.750,15454.470,14861.964,14333.351,13888.357,13463.884,13047.342,12603.960,12202.295,11825.261,11493.110,11190.984,10892.303,10605.543,10322.101,10054.763
199,Medium variant,Belize,,84,42.047,43.333,43.181,42.340,41.635,41.340,41.248,40.924,40.318,39.498,38.780,38.238,37.792,37.363,36.817,36.194,35.582
200,Medium variant,Costa Rica,,188,343.850,329.061,315.564,303.676,293.613,286.439,279.369,271.967,263.923,256.970,250.803,245.507,240.721,235.638,230.433,225.351,220.699
201,Medium variant,El Salvador,,222,586.155,559.420,522.531,483.321,449.242,423.990,404.228,383.890,361.277,337.800,317.095,299.708,285.167,271.531,258.093,244.484,231.848
202,Medium variant,Guatemala,,320,2115.385,2146.998,2146.166,2122.800,2091.177,2054.556,2016.721,1976.127,1934.021,1883.918,1834.464,1784.793,1740.315,1696.409,1655.114,1613.286,1571.611
203,Medium variant,Honduras,,340,997.066,994.824,975.034,940.046,902.286,869.211,840.032,815.625,791.370,768.061,741.484,717.883,696.611,678.441,661.340,644.701,627.330
204,Medium variant,Mexico,,484,11457.910,11034.474,10527.597,10071.846,9682.068,9363.753,9058.903,8761.176,8440.825,8166.040,7913.922,7698.338,7500.346,7301.439,7109.975,6921.174,6746.517
205,Medium variant,Nicaragua,,558,591.305,557.879,530.057,505.061,484.003,464.004,444.192,425.201,406.383,390.087,375.262,361.494,349.180,337.021,325.504,314.664,304.863
206,Medium variant,Panama,,591,392.950,393.761,394.340,392.874,389.327,385.064,379.191,372.432,365.843,359.921,353.451,347.149,340.852,334.461,328.267,322.247,316.313
207,Medium variant,South America,26,931,33114.567,31937.791,30778.574,29723.463,28769.610,27912.083,27118.388,26301.421,25497.452,24756.189,24068.912,23455.865,22872.250,22298.568,21736.186,21211.234,20716.136
208,Medium variant,Argentina,,32,3749.599,3707.321,3665.887,3622.119,3575.984,3524.534,3466.651,3396.740,3325.344,3262.071,3199.659,3142.948,3082.770,3019.055,2958.702,2899.133,2843.812
209,Medium variant,Bolivia (Plurinational State of),,68,1273.028,1278.536,1273.785,1258.783,1238.474,1215.008,1191.171,1165.628,1138.368,1108.480,1078.332,1048.169,1020.210,993.108,966.335,940.567,914.971
210,Medium variant,Brazil,,76,14478.709,13736.138,13031.050,12433.852,11910.002,11462.113,11101.721,10733.983,10374.472,10045.088,9744.672,9488.690,9256.902,9025.896,8795.475,8583.572,8381.615
211,Medium variant,Chile,,152,1184.857,1160.903,1130.161,1094.355,1062.997,1040.434,1019.787,1001.610,981.686,961.267,939.832,922.896,907.054,892.363,878.055,861.513,846.317
212,Medium variant,Colombia,,170,3645.355,3455.508,3293.799,3149.353,3019.924,2905.733,2794.649,2691.937,2595.479,2508.552,2429.157,2357.370,2286.591,2221.811,2159.479,2101.855,2047.121
213,Medium variant,Ecuador,,218,1650.389,1633.381,1607.533,1579.060,1547.903,1512.866,1474.820,1434.358,1394.894,1357.024,1320.702,1287.247,1254.203,1222.188,1191.330,1162.226,1135.614
214,Medium variant,French Guiana,,254,33.655,35.771,38.646,41.468,43.726,45.205,46.209,47.195,48.422,49.724,50.648,51.062,51.104,51.098,51.047,51.083,51.068
215,Medium variant,Guyana,,328,79.085,76.256,72.321,68.049,64.080,60.669,57.397,54.020,50.551,47.300,44.287,41.548,39.062,36.708,34.448,32.353,30.464
216,Medium variant,Paraguay,,600,708.657,703.205,683.843,659.996,639.751,621.472,604.609,585.868,564.798,543.316,523.701,504.792,485.822,468.425,453.097,439.204,425.743
217,Medium variant,Peru,,604,3030.470,2934.295,2834.987,2749.563,2679.482,2614.440,2536.174,2446.106,2359.045,2282.709,2216.591,2156.268,2097.406,2037.385,1977.744,1923.927,1874.726
218,Medium variant,Suriname,,740,50.535,49.194,47.595,45.826,44.083,42.543,41.088,39.672,38.202,36.761,35.409,34.127,33.007,31.924,30.896,29.884,28.935
219,Medium variant,Uruguay,,858,240.301,235.386,228.837,220.652,212.678,206.035,200.319,194.676,188.965,183.212,177.604,172.361,167.871,163.585,159.195,155.207,151.093
220,Medium variant,Venezuela (Bolivarian Republic of),,862,2989.769,2931.741,2869.976,2800.235,2730.376,2660.884,2583.651,2509.487,2437.087,2370.547,2308.182,2248.254,2190.117,2134.894,2080.256,2030.585,1984.533
221,Medium variant,NORTHERN AMERICA,27,905,22550.363,23382.715,23718.694,23780.067,23834.451,24016.988,24411.200,24967.418,25367.858,25524.485,25570.641,25638.177,25818.690,26027.274,26187.164,26235.928,26158.877
222,Medium variant,Canada,,124,1939.709,1960.200,1966.233,1967.128,2016.061,2098.934,2175.247,2228.132,2258.128,2281.947,2311.848,2352.796,2392.147,2422.106,2436.284,2440.755,2445.033
223,Medium variant,United States of America,,840,20603.476,21415.509,21745.591,21806.316,21812.063,21912.024,22230.136,22733.593,23104.143,23237.096,23253.538,23280.323,23421.646,23600.393,23746.201,23790.593,23709.383
224,Medium variant,OCEANIA,,909,3365.085,3435.526,3481.239,3533.808,3620.401,3722.225,3804.702,3854.619,3876.282,3886.791,3900.916,3919.104,3930.319,3926.251,3903.367,3871.677,3839.186
225,Medium variant,Australia/New Zealand,,927,1882.959,1902.381,1897.892,1907.866,1966.121,2050.653,2125.100,2167.894,2186.427,2200.483,2225.185,2263.924,2300.394,2324.836,2332.406,2330.892,2330.357
226,Medium variant,Australia,28,36,1573.247,1589.888,1587.229,1601.367,1661.085,1744.387,1818.111,1860.937,1881.136,1897.540,1924.218,1964.224,2002.012,2027.997,2037.833,2038.986,2041.315
227,Medium variant,New Zealand,,554,309.712,312.493,310.663,306.499,305.036,306.266,306.989,306.957,305.291,302.943,300.967,299.700,298.382,296.839,294.573,291.906,289.042
228,Medium variant,Melanesia,,928,1361.363,1413.041,1462.999,1505.796,1536.134,1557.098,1569.500,1580.136,1585.409,1583.724,1575.734,1558.837,1537.638,1512.864,1485.459,1457.802,1428.302
229,Medium variant,Fiji,,242,85.735,81.955,79.722,77.963,75.420,72.282,68.875,65.405,62.165,59.260,56.755,54.343,51.830,49.431,47.128,45.070,43.239
230,Medium variant,New Caledonia,,540,21.574,21.789,21.941,21.947,21.858,21.876,22.049,22.241,22.331,22.268,22.162,22.078,22.025,21.985,21.899,21.762,21.590
231,Medium variant,Papua New Guinea,,598,1132.389,1184.153,1231.338,1270.914,1300.297,1322.432,1337.546,1351.247,1359.637,1360.995,1356.425,1343.770,1327.595,1308.000,1285.735,1262.772,1237.836
232,Medium variant,Solomon Islands,,90,86.262,88.479,92.073,95.725,98.205,99.287,99.247,99.162,99.033,98.974,98.262,96.857,94.881,92.719,90.555,88.707,86.808
233,Medium variant,Vanuatu,,548,35.403,36.665,37.925,39.247,40.354,41.221,41.783,42.081,42.243,42.227,42.130,41.789,41.307,40.729,40.142,39.491,38.829
234,Medium variant,Micronesia,29,954,52.889,53.143,53.583,53.402,52.465,51.135,49.595,48.375,47.532,46.692,45.614,44.234,42.769,41.359,40.075,38.954,37.932
235,Medium variant,Guam,,316,13.733,13.784,13.552,13.054,12.456,11.915,11.521,11.232,10.911,10.498,10.038,9.600,9.254,8.974,8.708,8.433,8.130
236,Medium variant,Kiribati,,296,16.234,16.366,16.178,16.148,16.820,17.799,18.264,18.170,17.797,17.520,17.585,17.862,17.995,17.719,17.164,16.643,16.339
237,Medium variant,Micronesia (Fed. States of),,583,12.648,12.993,12.895,12.157,11.119,10.388,10.146,10.089,9.823,9.203,8.394,7.714,7.327,7.132,6.919,6.558,6.078
238,Medium variant,Polynesia,30,957,67.874,66.961,66.765,66.744,65.681,63.339,60.507,58.214,56.914,55.892,54.383,52.109,49.518,47.192,45.427,44.029,42.595
239,Medium variant,French Polynesia,,258,21.445,20.650,19.781,19.150,18.540,18.017,17.499,16.948,16.382,15.878,15.432,15.030,14.627,14.235,13.826,13.456,13.103
240,Medium variant,Samoa,,882,23.774,23.509,23.953,24.728,24.946,24.123,22.726,21.570,21.140,21.037,20.692,19.777,18.530,17.343,16.531,15.980,15.466
241,Medium variant,Tonga,,776,12.732,12.963,13.583,14.044,14.024,13.464,12.754,12.354,12.368,12.422,12.197,11.644,10.976,10.440,10.145,9.966,9.717
